timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,entity_id,total_amount_btc,is_anomaly,risk_score,explanation
2026-07-27 12:38:43,161.247.254.91,77.50.222.230,64832,8334,15eb60ae816a5f852de5b4d116d379a265fb8216131ebf1cc19bebd2dd585658,bc1q9nBNB6NjawFTkwm7GXkHYTldmi0asfxafpqjSC,3Sto6RVk2O2xuRRzZZcw1ot8h8epTb4SNO,1.81296791,1.8122841,0.00068381,P2SH,US,Entity_0,1.81296791,False,24.1,Normal.
2026-07-27 12:58:12,220.42.132.236,23.192.19.1,51367,8332,fc06dd119c4e2a0e485d47588d1c49e16448896682fb5a4652ecf4f006912a5b,39EMHjT5lbbFj1hnunT6qD7vIsUEFylkQ3,bc1qRfgNEsm81FUeSfZzygeJ2yTDXrW0aZsZ2r3ayT,2.769466,2.76904052,0.00042548,P2PKH,CH,Entity_1,2.769466,False,11.5,Normal.
2026-07-27 14:38:09,195.63.255.237,218.254.84.139,58438,18333,4b25f7618356cbbedb985c74ae9b50fcaff604272e0d36b63e41031fba0959ae,3L6tT5hfP9Kf4mbN4isA0LMPKA6BGMJa9I,bc1qeQ6gm5HPjNkCFClWxhSsb4tbTfnWdV9RKVaqV3,0.82989878,0.82957551,0.00032327,P2TR,CZ,Entity_2,0.82989878,False,16.6,Normal.
2026-07-27 14:38:16,196.232.242.41,211.38.114.49,51018,18332,c20df23fa021c040bda8db127bab66e028c43147f6faf5ac293d7b8d2f45da1f,10NYJVncq3HOjy3K1iFfwao78QUijJJ2jT|3cVoqoPGXy42cOg8NqTJJxxK3ep8nzYvX3,1KVePuouuwcIgwtNpcmE3ZrCrzE2jErVWO|3Cocro8uhpipoDnNys9h2FX8tenSUlXDog|12JP7jfMF4sbnnVsveB0L5TYX765C0ECtk,0.04624853|0.31909301,0.00077003|0.10723237|0.25732241,1.673e-05,P2PKH,TN,Entity_3,0.36534154,False,35.8,Normal.
2026-07-27 14:50:48,70.105.190.3,38.118.160.152,64971,18332,47ff49efecb177bbb09095b4a6631d59ca6a45b83dbe9dee981b31b6ccc6b1a2,bc1q3knyY4aAUm9kIoyU6X5jrxVnGorAAgrMwGBCG8|bc1qQVNEdXL0rAuxM4UNpwpIdmBTuxihe9qEzp4bJa|bc1qBzroRtExbbCnDkrtMMSTWjbWWln9Nu73VASQZP,bc1qfydRqqcDQO7yijd1nvmFaGNN5M7TdZPCPW903G,0.81923737|0.70117844|1.62344079,3.14381275,4.385e-05,P2TR,US,Entity_4,3.1438566,False,18.5,Normal.
2026-07-27 15:28:46,164.52.176.51,29.166.1.198,49443,8332,3abce9e12f4a37a938b39a7ea02d6d83204a89432e3dbc1230360e1942928f9a,1k1ZFIz5TNHqmt9Y4A9p6FIwH9COYBczEd|3rqjmvJSNxFbSWlVbjcEx8X55NIIfCHI0m|bc1qOpim9ZDQdl66TwNTjYeGbJnTFKnncOdGOfNI9A,3LMBOSxjBY2EYVSW0aVbrQnH5PtAj43lGC,1.07556712|0.32692613|1.53060411,2.93273983,0.00035753,P2WPKH,US,Entity_5,2.93309736,False,9.3,Normal.
2026-07-27 15:40:10,131.13.171.83,138.116.49.132,59176,8332,98585bf39ef4fe4f04d195cb92962a48eb033e9d00dee3d1e021d5c9f069a683,35ewrMGGKF9DsrkAQIQzLKHWoGWrdXiz7m|3mIfTZ3o4ClewDEsau8ZBhjVStqEwodgTF|3OxatHZJ3yYtBy5Y6UyxDAyp8cvaP50iBu,3qKbrCoYLn0UUBaseM8FafgUVpIIblShy9|1aMP1dsgfOgeFOIzoXaE3d9huV4HzfWKlE|bc1q7qzDftGZGNBeGJfvWFAvXC0YrQsl9obgYhdoN1,0.4557622|0.7621038|3.13469329,0.74662102|0.76761167|2.83802742,0.00029918,P2TR,US,Entity_6,4.35255929,False,17.5,Normal.
2026-07-27 15:45:38,173.66.243.199,179.101.219.219,54977,8333,4e3771508d041251ebb814c4ad58b538cf1d42b5eda22ce423c5ca2fefcdf45d,1ZUQ9CtxJL2txke3g4eppUIISWB03VdOos,3RGia8LkQyGhcSFM15FocYHtCKwBn2rzPV|18DE7twjg9P9a7LNYsLhFJcE98A9PsxPn3,3.57293796,0.40416989|3.16866355,0.00010452,P2TR,US,Entity_7,3.57293796,False,17.8,Normal.
2026-07-27 15:46:28,49.254.27.121,197.110.104.162,51777,18332,7cf0d9ab6815bac1a683c376856c15e78208b85cf860f93b54ce9971a29e775e,3Q9taaezGQvSpcMdK3nLh7fLxVOXlglsOe|35rA4VukeWxud7qBE5LlEiVnN4SgeJpB3j|bc1qacyjuyaRVDzTYeoxQWhH9usd9Ow0v0VrmI7Osy|3ysUUHxRDi1a5BQ7Qc4N7A41uqgOyVUTKm,3nv2rELC0yn0fnaxDChNn1HIvJdu0pMxYq,0.2564328|1.39486159|0.46684602|1.18955105,3.30683301,0.00085845,P2TR,KR,Entity_8,3.30769146,False,14.1,Normal.
2026-07-27 16:01:02,185.78.6.102,125.241.196.115,57722,8332,d59a0e07d06fc560d1685cfb0c4575092c6853e94220a7661366f805e630a241,bc1q06OsrC3O1tg7CKZUiN5roVZ9gy6TpJ5mLuMSJd|bc1qRJAFtFnPuPXeDtZ9PE7n9OgQC7f5NlONaFnKjm,15K2EjHKxZzu80q4vWUR36AcX4ojsmwhDW|bc1qbh7sYJDkmKFFKX8B0Fe7659MJdj4klAPlx5GnH,0.45800749|2.48305661,1.03500875|1.90547031,0.00058504,P2SH,GB,Entity_9,2.9410641,False,7.8,Normal.
